apalpar	aperceber/aperceber-se/buscar/perceber/procurar/entender
apanhar	comprar/agarrar/capturar/obter/adquirir/receber/segurar/jogar/pegar/coligir/ajuntar/recolher/coletar/transportar/juntar/reunir
aparafusar	rodar/rodar/girar/girar
aparar	estar/ser
aparecer	surgir/surgir/parecer/desempenhar/tornar/estar/executar/ficar/fazer
aparelhar	prover/abastecer/fornecer/suprir/tornar/virar/mudar
aparentar	corresponder/combinar/concordar/desmentir/estar/ser
apartar	partir/dividir/separar
apartar-se	partir/dividir/separar
apaziguar	conciliar/reconciliar
apear	descer/baixar/cair
apear-se	descer/baixar/cair
apedrejar	matar
apelar	desafiar
apelidar	denominar/denominar/chamar/chamar/nomear/nomear
aperfeiçoar	modificar/alterar/melhorar/mudar/perfazer
apertar	prensar/modificar/alterar/pressionar/mudar/apinhar/estreitar/alterar/agarrar/segurar/mudar
apetrechar	prover/abastecer/fornecer/suprir
apiedar	afligir-se/magoar/sofrer
apiedar-se	afligir-se/magoar/sofrer
apitar	ressoar/ressoar/ressoar/soar/soar/soar/fazer/fazer/fazer
aplacar	suprir/satisfazer
aplainar	modelar/formar/alisar/alisar
aplaudir	enaltecer/gesticular/gesticular/elogiar/louvar
aplicar	tampar/tampar/cobrir/cobrir/compelir/denotar/obrigar/lidar/significar/conceder/forçar/colocar/entregar
apodrecer	degenerar/degradar/deteriorar/piorar
apoiar	botar/botar/pôr/pôr/colocar/colocar/carregar/carregar/suportar/ajudar
apoiar-se	botar/pôr/colocar/carregar
apontar	indicar/indicar/mostrar/mostrar/posicionar/deformar/informar/informar/situar/significar/indicar
apor	anexar/juntar/unir
aporrinhar	desgostar/desagradar
aportar	agir/atuar/fazer
aposentar-se	descontinuar/cessar/finalizar/desistir/acabar/terminar/parar/deixar
apostar	jogar/jogar/jogar/jogar/jogar
apostatar	repudiar/renunciar
apostrofizar	redigir/escrever
aprazar	determinar
apreciar	acrescer/agradecer/acrescentar/perceber/crescer/realizar/compreender/entender/aumentar/amar/transmitir/considerar/achar/ver/passar
apreender	agarrar/capturar/segurar/pegar
apregoar	anunciar/mostrar
apresentar	introduzir/contar/falar/dizer/proferir/recriar/recriar/verbalizar/conversar/informar/mostrar/falar/dizer/representar
apressar	acorrer/exortar/impelir/modificar/urgir/socorrer/alterar/assistir/auxiliar/viajar/viajar/ajudar/caminhar/caminhar/mudar/ir/ir/andar/andar/aprofundar/agir/intensificar/atuar/fazer
apressar-se	viajar/caminhar/ir/andar
aprimorar	aperfeiçoar/melhorar
aprisionar	involver
aprofundar	acrescer/acrescentar/crescer/aumentar/intensificar
aprontar	modificar/alterar/mudar
aprovar	balizar/enaltecer/elogiar/autorizar/louvar/exprimir/apoiar/expressar/avaliar/permitir/suportar/ajudar/julgar/mostrar/aceitar
aproveitar	explorar/usar
aproximar	assemelhar-se/assemelhar/parecer/computar/calcular
aproximar-se	assemelhar-se/assemelhar/parecer
aprumar	acertar/ajustar/corrigir/alterar/mudar
apunhalar	lesionar/lesar/ferir/machucar/propulsionar/empurrar
apurar	aperfeiçoar/comprar/obter/adquirir/melhorar/receber
aquecer	modificar/modificar/alterar/alterar/prover/abastecer/fornecer/suprir/mudar/mudar/alterar/tornar/virar/mudar/mudar
aquilatar	determinar
arar	trabalhar
arbitrar	jazer
arborizar	plantar/pôr/colocar
arcar	transportar/levar/carregar
