ab-rogação	revogação
almirante	general/major-general/marechal/brigadeiro
almofada	coxim/travesseiro/descanso
alocação	quota/cota/atribuição
alojamento	morada/apartamento/aposento/moradia/domicílio/residência/abrigo/habitação/lar/casa/caravanas/condominio/condomínio/estalagem/hostelalbergue/quartos/albergue/apartamento/moradia/habitação/acampamento/serviço
alopécia	alopecia
aloés	babosa
alpendre	pórtico/varanda/galeria
alpercata	alpargata/havaiana/chinelo
alpinista	montanhismo/escalador/montanhismo
alquila	metil
alta-tecnologia	automatização/automaçao/automação
alteração	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/variação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança/acomodação/personalização/adaptação/desaceleração/dispersão/retardação/revolução/transmutação/deformação/mutação/nascimento/aceleração/transformação/crescimento/transição/aumento/mudança
alternativa	cabimento/default/possibilidade/padrão/preferência
altifalante	sub-woofer/subwoofer/tweeter/woofer
altimetro	hipsómetro/hipsômetro
altitude	altura/soberba/teto
alto-falante	sub-woofer/subwoofer/tweeter/woofer
altura	altitude/soberba/soprano/tenor/teto/tom/baixo
altímetro	hipsómetro/hipsômetro
aluminio	alume/alúmen/pedra-ume
alumínio	alume/alúmen/pedra-ume
aluno	ouvinte/animista/antinomio/apóstolos/aristoteliano/bolsista/catecumenato/donatismo/druso/drusos/dualista/rastafari/rastafariano/siques/sociniano/zoroastriano/absolutista/maniqueísta/luterano/apóstolo/estudante
aluvião	filão/veio/delta/deltas/veio
alvenaria	aparelho
alvo	finalidade/intento/propósito/objectivo/objetivo/fim/intenção/alabastro/cal/descorante/pérola/destino/intenção
alça	castão/empunhadura/maçaneta/punho/cabo
além	imortalidade
além-túmulo	imortalidade
alívio	descompressão
ama	camareiro/empregada/donzela
ama-seca	parteira
amabilidade	favor/gentileza/consideração/ternura/benevolência/generosidade/perdão
amaciamento	maceração
amado	namorada/menina/querido/amante/garota/rapariga/mulher/amor/bem/agarro/adorador/namorado/admirador/noivo/amor/homem
amador	diletante
amadora	diletante
amante	namorada/menina/querido/garota/rapariga/mulher/amor/bem/agarro/chefa/concubina/directoria/groupies/headbanger/adorador/cortesã/fã/namorado/odalisca/admirador/noivo/amor/homem
amarelo	âmbar-cinzento/âmbar/açafrão/limão/dourado
amargura	ressentimento/amargor/ciumes/inveja/dor
amarra	contenção/confinamento/freio/restrição
ambientalista	verde
ambiente	habitat/quadra/contexto/jazida/quarteirão/âmbito/arena/circunstância/cenário/bloco/esfera/domínio/anti-ciclone/anticiclone/arredores/cercanias/partes/campos/localidade/nevoeiro/quina/ancoradouro/ciclone/cena/quadrante/neblina/refúgio/esfera/vizinhança/lar/canto/domínio/meio/casa
ambiguidade	evasividade/polissemia/brecha/mentira
ambigüidade	brecha
ambição	aspiração
ambiência	trevas/atmosfera/cheiro/tom/cara
ameaça	perigo/risco
americano	latinoamericano/latino-americano/norte-americano
amianto	crisótilo/tremolite
amida	acetamida/acrilamida/peptideo/peptídeo/peptídeos
amidas	acetamida/acrilamida/peptideo/peptídeo/peptídeos
amido	aipim/macaxeira/maisena/sagu/árum/mandioca
amiga	camarada/companheiro/irmão/amigo/coabitante/colocatário/confidente/camarada/companheiro/irmão/amigo/colega
amigo	ficante/camarada/companheiro/acompanhante/irmão/conexão/coabitante/colocatário/confederado/confidente/corporativista/francófilo/jacobita/amiga/apoiador/crente/fan/entusiasta/partidário/camarada/companheiro/pilar/irmão/colega
amina	anilina/enamina/histamina
aminas	anilina/enamina/histamina
amino-ácido	alanina/asparagina/cisteina/cisteína/cistina/citrulina/creatina/glicina/glutamina/ornitina/prolina/sarcosina/serina/tiramina/tirosina
aminoácido	alanina/asparagina/cisteina/cisteína/cistina/citrulina/creatina/glicina/glutamina/ornitina/prolina/sarcosina/serina/tiramina/tirosina
aminoácidos	alanina/asparagina/cisteina/cisteína/cistina/citrulina/creatina/glicina/glutamina/ornitina/prolina/sarcosina/serina/tiramina/tirosina
amizade	companherismo/camarada/companheiro/irmão/amigo/fé/conexão/acessibilidade/afabilidade/coabitante/colocatário/confidente/acessibilidade/amiga/cordialidade/hospitalidade/doçura/camarada/companheiro/familiaridade/amabilidade/irmão/amigo/colega/paz
amnésia	esquecimento
amo	armador/poupador/poupante/detentor/sócio
amontoado	drumlin
amoníaco	amónia/amónio/amônio
amor	apego/afeição/dolorimento/finura/maciez/paixonite/escolhido/ágape/benevolência/preferido/lealdade/respeito/afeição
amostra	bónus
amparo	sustentação
ampliação	dilatação/distensão/inflação/extensão
amplidão	anchura/largura/espessura/grossura/altitude/altura
amplificador	maser
amplificadores	maser
amuleto	figa/patuá/talismã/fetiche
amêndoeira	amendoeira
amônia	amónia/amónio/amônio
analgésico	acetanilida/aspirina/colchicina/fenacetina/morfina/tilenol
analgésicos	acetanilida/aspirina/colchicina/fenacetina/morfina/tilenol
