abaixar	subordinar/subjugar/submeter/dominar
aprovar	consentir/permitir/concordar/deixar/carimbar/endorsar/ovacionar/clamar/sucumbir/aclamar/aplaudir/garantir/louvar/ceder/consentir/apoiar/confirmar/defender/desistir
aproveitar	manipular/utilizar/alimentar/usar/jogar
aproximar	beirar/quantizar/truncar/convergir/menosprezar/subestimar/chutar/estimar/avaliar/contar/considerar
aproximar-se	beirar/aproximar
aprumar	acamar/deitar-se/curvar-se/estender-se/levantar-se/inclinar/assentar-se/endireitar/sentar-se/assentar/sentar/retificar/afundar/cair
apunhalar	atiçar/aguilhoar
apurar	depurar/espiar/purgar/purificar/refinar
aquecer	calentar/esturricar/preaquecer/reaquecer/sobreaquecer/superaquecer/tostar/queimar
aquiescer	conivir/compactuar
aquietar	recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/tranqüilizar/pacificar/tranquilizar/acalmar/compor/aliviar
arar	estevar/estorrar/gradar/lavrar
arder	calcinar/incinerar
arguir	altercar/indispor-se/opor-se/querelar/porfiar/opor/disputar/expostular/re-argumentar/rearguir/reargumentar/sermonizar/recriminar/brigar/acusar/repreender/apoiar/defender/suportar/julgar
argumentar	expostular/re-argumentar/rearguir/reargumentar/apoiar/defender/suportar
argüir	altercar/indispor-se/opor-se/querelar/porfiar/opor/disputar/brigar
armazenar	coleccionar/computarizar/engarrafar/entesourar/informatizar/amontoar/colecionar/empilhar/acumular/juntar/reunir
arquitetar	desenhar
arranjar	agavelar/coordenar/empilhar/acumular/organizar/drapejar/encadenar/escalonar/fasear/rearranjar/serializar/seriar/regularizar/reordenar/drapear/encadear/enfileirar/alisar/emparelhar/alienar/estratificar/dispor/distribuir/adornar/decorar/arrumar/ordenar/colocar
arrebanhar	superlotar
arrebentar	britar/estilhaçar/destroçar/estourar/explodir
arrecadar	multar/taxar
arredar	arrastar/atrair/abduzir/aduzir/arrancar/arrastar/puxar/esticar/tremer/tirar
arremessar	quebrar/dardejar
arremeter	arremessar/jogar/atacar
arrendar	sublocar
arriar	inclinar
arriscar	aventurar-se/aventurar/comprometer
arrogar	apropriar-se/conquistar/capturar/sequestrar/controlar
arrolhar	calafetar
arrombar	britar/estilhaçar/destroçar
arrostar	resistir
arruinar	assolar/depredar/vandalizar/devastar/subverter/violar/explodir/devorar/queimar/destruir/quebrar/pegar
arrumar	sincronizar/organizar
arrumar-se	dandificar/caber/vestir/pôr/usar/trocar/colocar/mudar
articular	cecear/ciciar/formularizar/labelizar/lexicalizar/palatalizar/silabificar/subvocalizar/trilar/acentuar/dogmatizar/nasalizar/enquadrar/clicar/vocalizar/formular/perguntar/cantar/esticar/enrolar/colocar
ascender	galgar/trepar/montar/subir/borbulhar/emergir/levantar/subir
asfixiar	estrangular
aspirar	exceder
assalariar	subcontratar/preencher/contratar/empregar
assaltar	bombardear/estuprar/violentar/desonrar/bombear/atacar/dessacralizar/profanar/sitiar/torpedear/assediar/contra-atacar/arremeter/saraivar/molestar/cercar/emboscar/invadir/violar/ocupar/atacar
assar	queimar
assassinar	justiçar/executar
assear	lavar/desempoeirar/desinfectar/desinfetar/higienizar/catar/sanitizar/escovar/varrer
assediar	enfadar/tormentar/retalhar/atormentar/crucificar/importunar/incomodar
assegurar	acarear/rechecar/reverificar/reassegurar/reexaminar/cruzar/conferir/corrigir/controlar
assemelhar	aproximar-se/ecoar/aproximar/copiar/imitar/lembrar/parecer
assemelhar-se	aproximar-se/assemelhar/ecoar/aproximar/copiar/imitar/lembrar/parecer
assentir	conivir/compactuar
assessorar	dissuadir/exortar/impelir/urgir/contraindicar/desaconselhar/extraviar/admoestar/prevenir/consultar/avisar/informar/advertir/propor
asseverar	alegar/proclamar/protestar/reivindicar/confirmar/afirmar/declarar/manter
assinalar	cadastrar/dimensionar/ler/sinalizar/significar/mostrar/registrar
assinar	autografar/contra-assinar/endossar/firmar/rubricar
assistir	ajudar/servir/desenrascar/zelar/facilitar/fixar/instigar/socorrer/testemunhar/visualizar/acelerar/apressar/cuidar/incitar/observar/aliviar/ver
associar	correlacionar/correlatar/inter-relatar/aliar/inter-relacionar/namorar/mencionar/identificar/referir/classificar/acompanhar/lembrar
associar-se	afiliar/afiliar-se/refiliar/reingressar/infiltrar/inscrever/unificar/penetrar/organizar/reunir
assombrar	estarrecer/pasmar/surpreender/deslumbrar/espantar/estontear/fascinar/admirar/apanhar/impressionar/surpreender/pegar
assoprar	ofegar/bufar/insuflar
assumir	cooptar/insistir/reassumir/pressupor/afirmar
assustar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/intimidar/impressionar
atacar	bombardear/estuprar/violentar/injuriar/assaltar/desonrar/bombear/insultar/dessacralizar/profanar/sitiar/torpedear/assediar/contra-atacar/retaliar/arremeter/destroçar/saraivar/molestar/cercar/emboscar/invadir/violar/ocupar/bater
atar	acorrentar/amordaçar/laçar/amarrar
atear	entoar
atemorizar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/assustar/intimidar/impressionar
atender	fixar
atenuar	confortar/acalmar/aliviar
ater	escapar
aterrar	abicar/desembarcar-se/desembarcar
aterrissar	abicar/desembarcar-se/desembarcar
aterrorizar	terrificar/horripilar/consternar/horrorizar/amedrontar/assustar/apavorar/intimidar/impressionar
atestar	aduzir/alegar/manifestar/presumir/citar/demonstrar/certificar/provar/dizer
atingir	efectuar/conseguir/efetuar/negociar/suceder/alcançar/obter/realizar/passar/readquirir/abalroar/consumar/desempenhar/assinar/chocar/colidir/conseguir/cumprir/comprar/culminar/funcionar/alcançar/executar/obter/realizar/adquirir/chegar/começar/fazer/bater
atirar	balear/arremessar/arremeter/disparar/jogar/lançar/quebrar/defenestrar/escamotear/fuzilar/metralhar/pipocar/prestidigitar/alijar/prostrar/disparar/pular/sacudir/jogar/lançar/passar
ativar	reativar
atordoar	escapar
atormentar	acossar/manietar/martirizar/chatear/amolar/enfurecer/incomodar
atrair	cativar/deliciar/deleitar/fascinar/encantar/desencaminhar/engodar/retrair/seduzir/capturar/prender/trazer/conduzir
atrapalhar	ocluir/entravar/interferir/barrar/estorvar/inibir/tapar/tolher/entupir/obstruir/impedir/trancar/excluir/defender/reter/evitar/segurar
atrasar	procrastinar/enrolar/segurar
atravessar	transitar/transgredir/infiltrar/negociar/correr/cortar
atribuir	alocar/antropomorfizar/interiorizar/internalizar/reatribuir/externalizar/agradecer/sensualizar/culpar/reservar/responsabilizar/personificar/projectar/projetar/classificar/separar
atribular	empestear
atuar	troçar/atrever/atrever-se/ousar/participar/premiar/virar-se/voluntariar/caçoar/recompensar/repagar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer/acercar-se/aportar/co-atuar/comportar/devassar/efectivar/hostilizar/interagir/perpetrar/proceder/afectar/antagonizar/atrever/atrever-se/bancar/coadjuvar/cometer/costumar/desesperar/efectuar/efetivar/folgar/galantear/namorar/optimizar/ousar/parodiar/reciprocar/reencenar/reiterar/agredir/alternar/antecipar/antever/azarar/comportar-se/condescender/disturbar/esfriar/evadir/flertar/manobrar/performar/retratar/romantizar/sentimentalizar/vulgarizar/agir/associar/criticar/debandar/desempenhar/gozar/presumir/reagir/aguardar/efetuar/emocionar/engajar/envolver/personificar/simular/acelerar/afetar/conquistar/lidar/apressar/descer/endurecer/furtar/prosseguir/surpreender/fingir/prever/repetir/brincar/desmoronar/permanecer/responder/interromper/lutar/perturbar/reter/disparar/forçar/ser/satisfazer/adquirir/criar/esperar/roubar/acabar/atacar/resistir/continuar/correr/jogar/seguir/representar/conduzir/começar/fazer
aturar	engolir/aceitar/consentir/aguentar
auferir	rentabilizar/lucrar/render/lucrar/capitalizar
augurar	prenunciar/profetizar/ameaçar/predizer
aumentar	fanfarrear/vangloriar/vangloriar-se/ampliar/ostentar/prolongar/florescer/intensificar/expandir/estender/subir/acirrar/altear/conglomerar/desgalhar/dilatar-se/elevar-se/engrandecer/expandir-se/hipertrofiar/potencializar/proliferar/ramificar-se/amplificar/desabrochar/maximizar/revalorizar/acrescer/aglomerar/aguçar/amontoar/aprofundar/multiplicar/ramificar/redobrar/dramatizar/embelezar/enraizar/progredir/somar/intensificar/afiar/alongar/elevar/expandir/acumular/acrescentar/regenerar/esticar/ganhar/adicionar/apreciar/crescer/desenvolver/estender/subir
automatar	semi-automatizar
automatizar	semi-automatizar
autorizar	credenciar/deferir/sancionar/licenciar/certificar/aprovar/reconhecer/franquiar/privilegiar/formalizar/ratificar/validar/certificar/declarar
auxiliar	assistir/ajudar/servir/desenrascar/zelar/facilitar/instigar/socorrer/acelerar/apressar/cuidar/incitar/aliviar
avaliar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/pensar/escolher/achar/enaltecer/imputar/reavaliar/elogiar/ensaiar/estandardizar/prejulgar/quantizar/revalorizar/supervalorizar/padronizar/truncar/valorizar/associar/criticar/louvar/prognosticar/superestimar/atribuir/designar/menosprezar/subestimar/testar/censurar/manipular/predizer/chutar/desaprovar/tentar/estimar/planejar/prever/aprovar/corrigir/rejeitar/contar/julgar/admitir/declarar/aceitar/considerar/achar/passar
avançar	favorecer/preferir/capengar/enobrecer/nobilitar/passear/escalar/roubar/dirigir/ir/subir
avariar	deteriorar/estragar/avacalhar/atribular/erodir/afligir/desfigurar/falir/mutilar/corroer/magoar/danificar/deteriorar/estragar/piorar/comer/machucar/queimar/partir/mudar/quebrar
aventurar	pressentir/prognosticar/adivinhar/predizer/prever/suspeitar
averiguar	acarear/apreçar/rechecar/reverificar/reexaminar/espiar/cruzar/testar/conferir/corrigir/controlar
avermelhar	rubificar
aviltar	desumanizar/abastardar/adulterar/batizar/esmagar/sensualizar/degradar/alterar/desvalorizar/envenenar/rebaixar/reduzir
avionar	planar
avisar	dissuadir/exortar/impelir/urgir/ameaçar/alarmar/contraindicar/desaconselhar/extraviar/admoestar/alertar/prevenir/consultar/informar/advertir/propor
avistar	detectar/observar/descobrir/achar/ver
avivar	arejar/aerar
avizinhar	atracar/chegar
avultar	entumecer/inchar
açoitar	urticar/flagelar
bafejar	bocejar/soluçar/suspirar/ressonar/hiperventilar/roncar/expirar/inalar/inspirar/exalar
bagunçar	misturar/abagunçar/disarranjar/desorganizar
baixar	naufragar/descer/afundar/derrubar/pôr/cair/apear/apear-se/rappel/gotejar/polvilhar/tombar/desmontar/pingar/pousar/subordinar/desembarcar/subjugar/decair/declinar/precipitar/mergulhar/descer/afundar/inclinar/submeter/dominar/corrigir/cair
bajular	adular
balancear	compensar/contrabalançar/contrabalancear/complementar/emparelhar/completar/suplementar/compensar/corrigir
balançar	braquiar/fremir/vibrar
balear	disparar/atirar
balizar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/avaliar/pensar/escolher/achar/imputar/ensaiar/prejulgar/associar/criticar/prognosticar/atribuir/designar/testar/predizer/desaprovar/tentar/prever/aprovar/avaliar/rejeitar/julgar/declarar/aceitar/considerar/achar/passar
banhar	argentar/cromar/niquelar
baralhar	reembaralhar/cortar
baratear	desvalorizar
barbear	tonsurar
barbear-se	tonsurar
barganhar	desvalorizar
barrar	barricar/represar/embarricar/interditar/entupir/asfixiar/sufocar/bloquear
basear	construir
bastar	qualificar-se/qualificar/servir
batalhar	digladiar/esforçar/esforçar-se/pressionar/lutar/forçar
bater	esmurrar/estapear/oscular/prensar/beijocar/chibatar/sobrepujar/açoitar/chicotear/golpear/beijar/sacanear/trapacear/afagar/colidir/pressionar/ultrapassar/exceder/apertar/chutar/derrotar/superar/roubar/atingir/bicar/driblar/emburacar/esbarrar/fincar/ricochetear/abalroar/cacetear/arrombar/espancar/golpear/roçar/surrar/apalpar/beijar/manusear/martelar/socar/subjugar/triunfar/acertar/chocar/colidir/raspar/ultrapassar/encostar/imobilizar/salvar/derrotar/eliminar/ferver/vencer/espalhar/superar/jogar/destruir/tocar/cortar
beber	bebericar/sorver/libar/lamber/sugar/chupar/embriagar/entornar/engolir/enxugar/matar/tomar
beijar	bicotar/beijocar
beijocar	bicotar/beijar
beirar	margear/convergir
bendizer	ungir/untar
beneficiar	lucrar/capitalizar
beneficiar-se	lucrar/capitalizar
benzer	ungir/untar
berrar	bradar/gritar/esganiçar/ulular/bramir/mugir/roncar/vociferar/gritar
bicicletar	monociclar
bifurcar	arborizar
bloquear	obstaculizar/tolher/obstruir/atrapalhar/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/esquecer/evitar/parar
bolear	embobinar/enrolar
bolhadear	espumar/espumejar/ferver
bombardear	atomizar/destruir
bombear	atomizar/destruir
boquejar	conversar
borbulhar	espumar/espumejar/ferver
bordejar	margear
borrifar	umeceder/umectar/atomizar/enevoar
botar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/colocar/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/reposicionar/sifonar/sobrepor/fixar/inserir/instalar/posar/procriar/receder/sentar-se/assentar/confinar/estratificar/sentar/dispor/gerar/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/pôr/atirar/jogar/levantar/colocar
bramir	gritar
brigar	pugnar/lutar/resistir/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/obstinar-se/recalcitrar/digladiar/assaltar/batalhar/repelir/defender/lutar/atacar/resistir/conduzir
brilhar	coriscar/faiscar/tremeluzir/lucilar/luzir/titilar/arder/cintilar/queimar
brincar	curvetear/garotar/traquinar/zuar/bagunçar
brindar	propor/dar
brotar	arborizar
buscar	esgravatar/espeluncar/googlar/guglar/palpar/re-explorar/referenciar/tatear/revolver/vasculhar/revirar/apalpar/mapear/navegar/consultar/coletar/registar/procurar
caber	ajustar/experimentar
cadastrar	indicar/dizer/bater
cair	naufragar/descer/afundar/derrubar/pôr/apear/apear-se/despencar/enamorar/enamorar-se/gear/granizar/nevar/rappel/apaixonar-se/gotejar/polvilhar/tombar/apaixonar/chover/desmontar/pingar/pousar/desembarcar/cuspir/decair/declinar/precipitar/mergulhar/descer/afundar/corrigir/diminuir
calcular	multiplicar/cobrar/creditar/recalcular/sobrecapitalizar/solver/debitar/extrapolar/fatorar/interpolar/orçar/quantizar/solucionar/subtrair/aproximar/integrar/mapear/processar/somar/superestimar/subestimar/adivinhar/deduzir/chutar/diferenciar/estimar/resolver/adicionar/avaliar/julgar/dividir
calotear	roubar/charlatanear/fraudar/defraudar/vitimizar/vitimar/trapacear
caluniar	malignar/difamar/assassinar
caminhar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/dirigir/correr/seguir/ir/andar/subir/passar/cair/apressar-se/baldear/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/ganir/joeirar/mancar/mochilar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pisar/ziguezaguear/constitucionalizar/galopar/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/continuar/trocar/seguir/virar/ir/andar/subir/passar/cair
canalizar	estacionar/acuar/encurralar/pilotar/navegar/emboscar/guiar/conduzir
cancelar	cassar/rescindir/reverter/revogar/anular/descumprir/invalidar/revogar/recolher/anular
cansar-se	exaurir
cantar	salmodiar/solfar/solmizar/trautear/cantarolar/solfejar/entoar/harmonizar/piar/trinar/vocalizar
capotar	dormitar/cochilar/estivar/hibernar
capturar	abduzir/apreender/raptar/seqüestrar/sequestrar/apanhar/furtar/agarrar/roubar/prender/segurar/arapucar/armadilhar/engalfinhar/caçar/raptar/seqüestrar/usurpar/laçar/recapturar/sequestrar/agarrar/esconder/segurar/pegar
caracterizar	distinguir/determinar/diferenciar/marcar
caraterizar	distinguir/determinar/diferenciar/marcar
carburar	deflagrar/fumegar/incendiar/arder
carecer	exceptuar/precisar/excluir
carregar	deitar/semear/instalar/dispor/plantar/arranjar/transportar/pôr/perder/trazer/levar/colocar/tirar/aconchegar-se/aerotransportar/apoiar-se/arcar/atochar/chumbar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/transviar/aconchegar/embarricar/empoleirar/engarrafar/envasar/estacionar/onerar/paralelizar/posicionar/recarregar/reclinar/reposicionar/sifonar/empilhar/sobrepor/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/estratificar/sentar/sobrecarregar/dispor/situar/acariciar/acumular/apoiar/auxiliar/sinalizar/empacotar/erguer/introduzir/ajudar/guiar/pôr/atirar/jogar/levantar/colocar/conduzir
casar	recasar
casar-se	recasar
cascar	esfolar
cassar	descumprir
castigar	executar/desagravar/desforrar/pixar/revidar/vingar/retaliar/vitimizar/flagelar/vitimar/disciplinar/corrigir
castrar	defemininizar/capar
categorizar	classificar
cativar	manipular/manter
causar	contagiar/incutir/concitar/elicitar/engendrar/filmar/infetar/infundir/infectar/procriar/recriar/copiar/gerar/compor/formar/escrever/estimular/incitar/organizar/dirigir/provocar/fazer/desovar/dinamitar/instaurar/motivar/ocasionar/pioneirar/reativar/usinar/adjudicar/coreografar/edificar/empreender/facilitar/fender/instituir/propulsar/alinhavar/atalhar/concretizar/confeccionar/estilizar/imaginar/impelir/influenciar/manufaturar/riscar/conceber/derivar/destilar/fabricar/moldar/originar/procriar/puncturar/recortar/recriar/reproduzir/substanciar/efetuar/verbalizar/gerar/impulsionar/incentivar/induzir/extrair/montar/compor/determinar/outorgar/produzir/regenerar/estabelecer/estimular/incitar/preparar/arrumar/explodir/furar/executar/construir/realizar/criar/iniciar/trazer/provocar/reunir/deixar/começar/tocar/dar/cortar/fazer
cavalgar	galopar/compartilhar
cavar	afocinhar/sulcar
caçar	emboscar
caçoar	brincar/agaiatar/palhaçar/gracejar
ceder	comissionar/desobrigar/incumbir/aceder/confidenciar/confiar/livrar/alienar/transferir/renunciar/vender/submeter/desistir/transmitir/liberar/abandonar/deixar/entregar/passar/dar
cegar	abacinar
ceifar	gadanhar/segar
celebrar	enlutar/festar/comemorar/curtir/festejar/marcar/lamentar/receber
