abandonar	perder
destroçar	arruinar/destruir
destruir	arruinar
deter	refrear/amarrar/atar/limitar/controlar
determinar	enumerar/contar/identificar/reconhecer
dialogar	boquejar/papear/prosear/fofocar/confabular/conversar
diferenciar	caracterizar/caraterizar/discriminar/distinguir
dilapidar	dissipar/desperdiçar
dilatar-se	inflar/inchar/encher
diminuir	encurtar/resumir/condensar/abreviar/reduzir/amainar/circunscrever/contrair-se/murchar/abater/amenizar/encurtar/encolher/enrugar/confinar/declinar/minimizar/contrair/ferver/enfraquecer/limitar/restringir/reduzir
direcionar	apontar/dirigir
dirigir	encabeçar/estacionar/liderar/comandar/dar/fazer
dirigir-se	questionar/perguntar
discutir	encetar/abordar/iniciar
disfarçar	esconder
dispor	regularizar/arrumar/ordenar
disputar	aguerrir/combater/guerrear/digladiar/assaltar/batalhar/lutar/atacar
dispõe	possuir/portar/ter/carregar
disseminar	desaguar/derramar
dissolver	derreter/fundir
distinguir	caracterizar/caraterizar/discriminar/diferenciar
distribuir	desaguar/derramar
divertir	entreter
dividir	romper/estourar/arrebentar/explodir/quebrar/brocar/descolar/desgrudar/fragmentar/serrar/cindir/lascar/abater/desconectar/rasgar/sulcar/perfurar/cavar/furar/derrubar/quebrar/separar/cortar
divisar	ver
dizer	cochichar/balbuciar/retrucar/sussurrar/resmungar/murmurar/replicar/berrar/cantar/responder/gritar/prefaciar/balbuciar/gaguejar/ladrar/bradar/proclamar/vociferar/discutir/murmurar/preceder/tagarelar/conversar/reclamar/introduzir/anunciar/apresentar/enrolar/declarar/falar/representar
dobrar	acovardar/acovardar-se/debruçar/inclinar/corrugar/enrugar/cruzar/amassar
doer	lesionar/lesar/ferir/machucar/ferroar/excruciar/padecer/torturar/atormentar/picar/furar/machucar/ter
dormir	capotar/sonecar/dormitar/cochilar
ecoar	recitar
efetuar	desempenhar/cumprir/executar/realizar/atingir
elicitar	magoar/ofender/provocar/encolerizar/irar/zangar/comover/interessar/desconcertar/enraivecer/emocionar/estimular/atrair/perturbar/confundir/excitar/superar/pedir
elogiar	adular/louvar/exaltar/glorificar/bajular
embaraçar	disconcertar/confundir
embarcar	aviar/despachar/enviar
embelezar	lustrar/polir/cuidar-se/colorir/pendurar/adornar
embonecar	lustrar/polir/cuidar-se
emendar	remendar/consertar
emitir	latir/ladrar/relinchar/ecoar/repetir
emocionar	atemorizar/amedrontar/assustar/aterrorizar/intimidar/inspirar/intoxicar/exaltar/elevar/convidar/tentar/animar/excitar/provocar
empetecar	lustrar/polir/cuidar-se/colorir/pendurar/adornar
empreender	constituir/fundar/estabelecer
empregar	devotar/compartir/dedicar/partilhar/recrutar/aproveitar/compartilhar/consagrar/comprometer/explorar/usar/dividir/desfrutar/exercer/gozar/desperdiçar/aplicar/perder
empurrar	cotovelar/cutucar/propulsionar/acotovelar/bater
enaltecer	adular/louvar/exaltar/glorificar/bajular
encerrar	finalizar/acabar/terminar/abortar/cumprir/efetuar/suspender/finalizar/resolver/interromper/decidir/executar/concluir/realizar/acabar/terminar/aceitar/parar/atingir
encetar	endereçar/lidar/tratar/falar/cobrir
encher	carregar
encobrir	disfarçar/mascarar/esconder/sepultar/soterrar/enterrar/esconder
encolerizar	abespinhar/exasperar/irar/enfurecer
encontrar	apinhar/reunir-se/acessar/celebrar
encostar	rodear/contornar/atritar/aderir/arranhar/colar/cobrir
enfeitar	colorir/pendurar/adornar
enfraquecer	debilitar
engajar	recrutar/ligar
enganar	mentir
engatar	ligar
enlistar	recrutar
enraivecer	abespinhar/encolerizar/exasperar/irar/enfurecer
ensinar	educar/instruir/preparar/treinar/palestrar/falar
entender	enxergar/ouvir/solucionar/doer/escutar/cheirar/ler/resolver/sentir/olhar/realizar/compreender/ver/avistar/divisar/escanear/interpretar/sonhar/traduzir/ler/perceber/compreender/ver
entrar	traspassar/perfurar/penetrar
entravar	refrear/limitar/controlar
entregar	legar/emprestar/prestar/doar/prover/abastecer/dispensar/fornecer/suprir/pagar/deixar/passar/dar/comissionar/consignar/desobrigar/incumbir/provisionar/confidenciar/lembrar-se/lotear/render-se/submeter-se/confiar/depositar/sucumbir/contribuir/financiar/livrar/alienar/atribuir/ceder/prover/transferir/abastecer/lidar/fornecer/renunciar/outorgar/permitir/conceder/lembrar/desistir/transmitir/liberar/oferecer/servir/abandonar/deixar/dar/manter
entreter	divertir
enunciar	enrolar
envergonhar	disconcertar/confundir
enviar	aviar/comunicar/despachar/transmitir
enxugar	estorricar/ressecar/rolar
equivaler	corresponder/combinar/concordar
esbanjar	dissipar/desperdiçar
escapar	foragir/escapulir/fugir/evadir-se/fugir
escapulir	evadir-se/fugir/escapar
escolher	eleger/votar/decidir/esposar/adoptar/adotar
esconder	disfarçar/mascarar/encobrir/sepultar/soterrar/enterrar
escorregar	resvalar/derrapar/deslizar/patinar
escrever	transcrever/registar/registrar
esfregar	roçar/enxugar/limpar
espalhar	desaguar/borrifar/derramar
especular	ponderar/questionar/perguntar
esperar	adiar
esquentar	tostar
estabilizar-se	enraizar/acomodar
estar	estender-se/importar/necessitar/agradar/precisar/caber/depender/encostar/requerer/alcançar/contar/parecer/pesar/ficar/servir/abrilhantar/considerar-se/espreguiçar-se/esticar-se/fulgir/fulgurar/meandrar/quedar/inter-relacionar/refulgir/subjazer/aparentar/comparar/custar/defrontar/repousar/totalizar/morar/povoar/prometer/relacionar/sentar-se/valer/descansar/doer/encarar/habitar/jazer/medir/resultar/zumbir/comprar/dever/viver/vender/pertencer/permanecer/adicionar/provar/sofrer/brilhar/ser/parecer/estender/chegar/continuar/aceitar/levar/ficar/ir/manter
estender	esparramar/espalhar
esterilizar	capar/emascular/castrar
estimar	enaltecer/elogiar/louvar
estimular	atemorizar/amedrontar/assustar/aterrorizar/magoar/ofender/intimidar/provocar/encolerizar/irar/zangar/comover/inspirar/interessar/intoxicar/desconcertar/enraivecer/emocionar/exaltar/elevar/convidar/tentar/atrair/perturbar/animar/confundir/excitar/superar/pedir/provocar
estraçalhar	arruinar/destruir
